Record ID	Web ID	Genus/Morphon 	Feeding Preference	Trophic ID 	Taxon ID	Log(Abundance)	Log(averageMass)	Log(Biomass)	Soil pH	C-tot	N-tot	Airborne N	Total N-input	Manure-N	Manure-P	P-pore water	Soil phosphate	Soil-Ptot	Soil-Cd 	Soil-Cr	Soil-Cu	Soil-Hg	Soil-Ni	Soil-Pb	Soil-Zn	Mean rainfall	Max rainfall	Average-T	Average-Tmax	Latitude	Longitude	Vegetation cover (%)	Ecosystem Type ID
62	96	Henlea	Substrate-inhabiting enchytraeids	44	44009	3.94	1.67	5.61	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
63	96	Hypogastrura	Fungivore insects and pauropods	23	23012	1.98	0.98	2.95	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
64	96	Isotoma	Fungivore insects and pauropods	23	23013	3.81	1.9	5.71	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
65	96	Lumbricus	Substrate-ingesting lumbricids	45	45018	0.92	4.6	5.52	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
66	96	Metateratocephalus	Bacterivore nematode	31	31095	4.15	-1.51	2.64	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
67	96	Plectidae	Bacterivore nematode	31	31126	4.15	-1.02	3.13	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
68	96	Plectus	Bacterivore nematode	31	31127	4.15	-0.58	3.56	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
69	96	Pratylenchus	Plant-feeding nematode	11	11129	4.62	-1.23	3.4	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
70	96	Rhabditidae	Bacterivore nematode	31	31142	4.15	-0.69	3.46	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
71	96	Rhabditis	Bacterivore nematode	31	31143	4.62	-0.74	3.89	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
72	96	Rhagidiidae	Generalist mite	72	72116	2.28	0.2	2.48	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
73	96	Scutacaridae	Omnivore mite	82	82124	2.88	-0.61	2.27	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
74	96	Sminthurinus	Plant-feeding collembolans and symphylids	13	13034	3.62	0.62	4.24	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
75	96	Stigmaeidae	Omnivore mite	82	82131	1.98	0.23	2.2	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
76	96	Tarsonemidae	Parasitizing mite (hosts are mites or nematodes)	92	92133	3.02	-0.7	2.32	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
77	96	Thornematidae	Omnivore nematode	81	81151	4.93	-0.47	4.45	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
78	96	Tripyla	Predating nematode (consuming nematodes)	51	51156	5.43	-0.42	5.01	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
79	96	Tylenchidae	Fungivore nematode	21	21160	4.93	-1.36	3.56	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
80	96	Tylenchorhynchus	Plant-feeding nematode	11	11163	4.15	-0.66	3.48	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
81	96	Tyrophagus	Microphytophage mite (feeding on fungi)	22	22140	3.87	0.01	3.88	5.2	71.1	N/A	28.3	367	339	86.4	70	630	N/A	0.28	17.3	15.4	0.06	<DL	22.3	34.3	2.1	13.3	19.7	26.3	52.75	6.5	84	1
